ticker,date,Adj Close,BH_days,BH_price,BH_profit_pct,BH_profit_dollars,OS_price,OS_days,OS_profit_pct,OS_profit_dollars,Stress_price,Stress_days,Stress_profit_pct,Stress_profit_dollars,StressVol_price,StressVol_days,StressVol_profit_pct,StressVol_profit_dollars,BH negative Dev,OS Negative Dev,Stress Negative Dev,StressVol Negative Dev,,,,,,
AAL,7/22/16,34.94280624,90,39.12469101,0.119677989,4.181884766,39.12469101,90,0.119677989,4.181884766,39.12469101,90,0.119677989,4.181884766,32.20388412,11,-0.078383004,-2.738922119,,,,-0.078383004,,,,,,
AAL,10/20/16,39.12469101,99,45.36934662,0.159609072,6.244655609,43.25307083,26,0.105518528,4.128379822,44.28705978,28,0.13194657,5.162368774,41.48468018,22,0.060319688,2.359989166,,,,,,,,,,
AAL,1/27/17,45.36934662,90,42.59386063,-0.061175357,-2.775485992,39.91116714,46,-0.120305446,-5.458179474,41.0345993,45,-0.095543525,-4.334747314,42.76024246,4,-0.057508083,-2.609104156,-0.061175357,-0.120305446,-0.095543525,-0.057508083,,,,,,
AAL,1/25/18,51.70603561,91,41.37601852,-0.199783584,-10.33001709,47.45986557,14,-0.082121362,-4.246170044,41.37601852,91,-0.199783584,-10.33001709,44.33493423,76,-0.142557852,-7.371101379,-0.199783584,-0.082121362,-0.199783584,-0.142557852,,,,,,
AAL,1/24/19,33.12438583,92,32.62262344,-0.015147825,-0.50176239,32.62262344,92,-0.015147825,-0.50176239,32.62262344,92,-0.015147825,-0.50176239,32.62262344,92,-0.015147825,-0.50176239,-0.015147825,-0.015147825,-0.015147825,-0.015147825,,,,,,
AAL,4/26/19,32.62262344,90,31.34120369,-0.039280095,-1.281419754,30.6385746,24,-0.060818188,-1.984048843,28.43172646,32,-0.128465971,-4.190896988,29.60937309,26,-0.092366892,-3.013250351,-0.039280095,-0.060818188,-0.128465971,-0.092366892,,,,,,
AAL,7/25/19,31.34120369,91,29.20704079,-0.068094478,-2.134162903,29.53020477,7,-0.057783324,-1.810998917,30.42085838,4,-0.029365347,-0.920345306,30.42085838,4,-0.029365347,-0.920345306,-0.068094478,-0.057783324,-0.029365347,-0.029365347,,,,,,
AAL,10/24/19,29.20704079,91,28.69396019,-0.017567018,-0.513080597,28.69396019,91,-0.017567018,-0.513080597,28.69396019,91,-0.017567018,-0.513080597,28.69396019,91,-0.017567018,-0.513080597,-0.017567018,-0.017567018,-0.017567018,-0.017567018,,,,,,
AAL,1/23/20,28.69396019,98,12.01000023,-0.58144501,-16.68395996,26.01386642,4,-0.093402714,-2.680093765,26.01386642,4,-0.093402714,-2.680093765,27.5382309,1,-0.04027779,-1.155729294,-0.58144501,-0.093402714,-0.093402714,-0.04027779,,,,,,
AAL,4/30/20,12.01000023,84,11.77000046,-0.019983328,-0.239999771,20.30999947,39,0.691090681,8.299999237,11.77000046,84,-0.019983328,-0.239999771,20.30999947,39,0.691090681,8.299999237,-0.019983328,,-0.019983328,,,,,,,
